Date,Workout,Time,,Active Calories,Avg HR,Max HR,,,Distance,Cadence,Output AVG,Resistance,,,VO2,,,,
10/25/2025,Outdoor Walk,0:25:08,,147,90,107,,,1.46,,,,,,39.2,,,,
4/23/2025,Outdoor Walk,0:49:31,,438,109,119,,,3.27,,,,,,39.6,,,,
10/27/2025,Outdoor Walk,0:36:17,,201,87,107,,,2.06,,,,,,39.7,,,,
4/23/2025,Outdoor Walk,0:35:05,,278,109,137,,,1.48,,,,,,40.0,,,,
4/22/2025,Outdoor Walk,0:52:52,,262,95,105,,,2.89,,,,,,40.1,,,,
4/20/2025,Outdoor Walk,0:55:08,,408,97,115,,,3.35,,,,,,40.1,,,,
4/24/2025,Outdoor Walk,0:20:03,,112,87,94,,,1.18,,,,,,40.2,,,,
10/31/2025,Outdoor Walk,0:24:57,,129,87,107,,,1.35,,,,,,40.4,,,,
10/29/2025,Outdoor Walk,0:41:47,,192,79,93,,,2.07,,,,,,40.4,,,,
4/19/2025,Outdoor Walk,1:04:44,,296,88,104,,,3.27,,,,,,40.9,,,,
4/14/2025,Outdoor Walk,1:09:16,,474,99,127,,,4.07,,,,,,40.9,,,,
4/26/2025,Outdoor Walk,1:01:25,,487,100,131,,,2.59,,,,,,41.0,,,,
4/13/2025,Outdoor Walk,1:00:03,,322,97,109,,,3.41,,,,,,41.0,,,,
11/3/2025,Outdoor Walk,0:43:17,,240,87,101,,,2.40,,,,,,41.2,,,,
4/27/2025,Outdoor Walk,0:24:33,,131,86,92,,,1.39,,,,,,41.3,,,,
4/14/2025,Outdoor Walk,0:20:40,,141,88,100,,,0.99,,,,,,41.4,,,,
4/28/2025,Outdoor Walk,0:20:35,,100,85,93,,,1.05,,,,,,41.5,,,,
5/1/2025,Outdoor Walk,0:27:18,,163,83,91,,,1.13,,,,,,41.8,,,,
4/30/2025,Outdoor Walk,0:47:37,,411,107,135,,,3.34,,,,,,41.8,,,,
4/29/2025,Outdoor Walk,0:20:36,,107,83,92,,,1.15,,,,,,41.8,,,,
5/9/2025,Outdoor Walk,0:22:55,,99,83,93,,,1.13,,,,,,42.0,,,,
5/2/2025,Outdoor Walk,0:43:39,,452,118,140,,,3.35,,,,,,42.0,,,,
5/2/2025,Outdoor Walk,0:25:29,,125,84,91,,,1.27,,,,,,42.1,,,,
5/12/2025,Outdoor Walk,0:24:33,,154,86,104,,,1.09,,,,,,42.5,,,,
5/16/2025,Outdoor Walk,0:58:54,,305,95,112,,,3.20,,,,,,42.6,,,,
5/16/2025,Outdoor Walk,0:22:13,,108,86,98,,,1.18,,,,,,42.7,,,,
5/15/2025,Outdoor Walk,0:23:27,,102,84,92,,,1.18,,,,,,42.7,,,,
5/20/2025,Outdoor Walk,0:40:44,,228,90,104,,,2.32,,,,,,42.9,,,,
5/27/2025,Outdoor Walk,0:22:37,,100,81,90,,,1.08,,,,,,43.1,,,,
5/26/2025,Outdoor Walk,0:58:32,,310,86,96,,,3.35,,,,,,43.1,,,,
5/23/2025,Outdoor Walk,0:21:52,,118,82,92,,,1.16,,,,,,43.1,,,,
5/19/2025,Outdoor Walk,0:21:44,,106,84,89,,,1.16,,,,,,43.2,,,,
3/20/2025,Outdoor Walk,1:06:23,,323,89,94,,,3.56,,,,,,43.3,,,,
5/30/2025,Outdoor Walk,0:36:54,,204,85,98,,,2.12,,,,,,43.4,,,,
3/21/2025,Outdoor Walk,1:03:03,,318,87,95,,,3.54,,,,,,43.4,,,,
3/10/2025,Outdoor Walk,0:58:30,,341,96,106,,,3.52,,,,,,43.4,,,,
3/27/2025,Outdoor Walk,0:30:44,,145,92,101,,,1.17,,,,,,43.6,,,,
6/2/2025,Outdoor Walk,0:30:30,,141,80,92,,,1.57,,,,,,43.7,,,,
3/25/2025,Outdoor Walk,1:53:16,,721,97,116,,,2.89,,,,,,43.7,,,,
2/28/2025,Outdoor Walk,0:54:34,,312,86,101,,,2.99,,,,,,43.7,,,,
1/26/2025,Outdoor Walk,0:43:14,,229,85,96,,,2.28,,,,,,43.7,,,,
6/3/2025,Outdoor Walk,0:22:27,,97,78,98,,,1.11,,,,,,43.8,,,,
2/3/2025,Outdoor Walk,0:27:13,,129,85,91,,,1.43,,,,,,43.8,,,,
3/25/2025,Outdoor Walk,1:22:50,,359,91,111,,,2.87,,,,,,43.9,,,,
6/11/2025,Outdoor Walk,0:39:50,,203,88,106,,,2.16,,,,,,44.0,,,,
3/19/2025,Outdoor Walk,1:04:05,,318,84,95,,,3.52,,,,,,44.0,,,,
6/12/2025,Outdoor Walk,0:22:39,,139,83,102,,,1.03,,,,,,44.1,,,,
2/10/2025,Outdoor Walk,0:31:14,,171,82,91,,,1.64,,,,,,44.1,,,,
2/2/2025,Outdoor Walk,0:55:52,,385,95,117,,,3.25,,,,,,44.2,,,,
1/9/2025,Outdoor Walk,0:30:42,,202,103,118,,,1.89,,,,,,44.2,,,,
1/3/2025,Outdoor Walk,0:43:44,,249,93,102,,,2.59,,,,,,44.2,,,,
6/10/2025,Outdoor Walk,0:24:30,,106,75,81,,,0.99,,,,,,44.3,,,,
6/6/2025,Outdoor Walk,0:20:39,,93,80,95,,,1.05,,,,,,44.3,,,,
1/31/2025,Outdoor Walk,0:13:26,,78,90,104,,,0.72,,,,,,44.3,,,,
1/6/2025,Outdoor Walk,0:29:32,,169,92,102,,,1.70,,,,,,44.3,,,,
6/13/2025,Outdoor Walk,0:40:08,,186,81,91,,,2.08,,,,,,44.4,,,,
6/9/2025,Outdoor Walk,0:23:18,,107,76,87,,,1.21,,,,,,44.4,,,,
1/4/2025,Outdoor Walk,0:23:58,,144,90,104,,,1.29,,,,,,44.4,,,,
1/17/2025,Outdoor Walk,0:22:37,,163,80,95,,,1.24,,,,,,44.5,,,,
7/2/2025,Outdoor Walk,1:00:05,,276,85,98,,,3.10,,,,,,44.6,,,,
6/15/2025,Outdoor Walk,0:31:11,,161,81,89,,,1.68,,,,,,44.8,,,,
6/23/2025,Outdoor Walk,0:24:12,,110,85,94,,,1.26,,,,,,44.9,,,,
6/17/2025,Outdoor Walk,0:20:39,,93,77,84,,,1.06,,,,,,44.9,,,,
6/16/2025,Outdoor Walk,0:27:54,,122,76,82,,,1.42,,,,,,44.9,,,,
6/30/2025,Outdoor Walk,0:20:05,,86,84,94,,,0.88,,,,,,45.0,,,,
6/25/2025,Outdoor Walk,0:31:14,,137,79,101,,,1.50,,,,,,45.0,,,,
6/24/2025,Outdoor Walk,0:22:15,,85,77,85,,,1.03,,,,,,45.0,,,,
6/27/2025,Outdoor Walk,0:26:15,,118,77,83,,,1.38,,,,,,45.2,,,,
6/23/2025,Outdoor Walk,0:26:02,,109,77,85,,,1.24,,,,,,45.2,,,,
